Neighborhood,Latitude,Longitude
A. S. Rao Nagar,17.28333333,78.31666667
A.C. Guards,17.39694444,78.45694444
Abhyudaya Nagar,18.99137778,72.84416389
Abids,17.36611111,78.47611111
Adikmet,17.40694444,78.51277778
Afzal Gunj,17.37333333,78.47083333
Aghapura,17.38833333,78.46444444
"Aliabad, Hyderabad",17.34638889,78.47027778
Alijah Kotla,17.35722222,78.47694444
Allwyn Colony,17.48333333,78.41666667
Alwal,17.50305556,78.50694444
Amberpet,17.39083333,78.52361111
Ameerpet,17.4375,78.4482
"Ashok Nagar, Hyderabad",17.40694444,78.48861111
Asif Nagar,17.38944444,78.45277778
Attapur,17.39583333,78.43111111
"Azamabad, Hyderabad",17.4137,78.5029
Azampura,17.37611111,78.49027778
Badichowdi,17.38916667,78.48666667
Bagh Lingampally,17.39916667,78.4975
Bairamalguda,17.34027778,78.54111111
Balkampet,17.442,78.451
Banjara Hills,17.415,78.44
"Bank Street, Hyderabad",17.38583333,78.47944444
"Barkas, Hyderabad",17.31305556,78.48277778
Barkatpura,17.39138889,78.49722222
Basheerbagh,17.39972222,78.47666667
Bazarghat,17.39305556,78.46027778
Begum Bazaar,17.37333333,78.47388889
Begumpet,17.445,78.46944444
Bharat Nagar,17.46333333,78.42888889
"BHEL Township, Hyderabad",17.49555556,78.29611111
BJR Nagar,17.4426,78.4308
Boggulkunta,17.3919,78.4787
Borabanda,17.45,78.4
Bowenpally,17.47611111,78.48277778
Brahman Vaadi,17.4377,78.4645
Chaderghat,17.36666667,78.5
Champapet,17.34833333,78.55083333
Chanchalguda,17.3689,78.4965
Chandrayan Gutta,17.31583333,78.45805556
Chatta Bazaar,17.3688,78.4792
Cherlapally,17.06,79.3
Chikkadpally,17.40333333,78.49861111
Chilkalguda,17.42111111,78.49888889
Chintal Basti,17.4074,78.4567
Chintalakunta,14.33333333,79.16666667
Dabirpura,17.36611111,78.47611111
Dar-ul-Shifa,17.3706,78.4809
Dhoolpet,17.37444444,78.46083333
Dilsukhnagar,17.36888889,78.52472222
Domalguda,17.40888889,78.48222222
ECIL 'X' Roads,17.451749,78.567116
Edi Bazar,17.34888889,78.49361111
Erragadda,17.48333333,78.41666667
"Fateh Nagar, Hyderabad",17.4573,78.4517
Ferozguda,17.4659,78.4601
Film Nagar,17.41638889,78.43833333
Gachibowli,17.43722222,78.34444444
Gaddiannaram,17.36888889,78.52472222
Golnaka,17.3888,78.5075
Goshamahal,17.38333333,78.46666667
Gudimalkapur,17.3788,78.4374
Gulzar Houz,17.36333333,78.475
Habsiguda,17.41916667,78.54138889
Hafeezpet,17.4842,78.3603
Hasmathpet,17.47222222,78.48611111
Hastinapuram,13.31666667,79.03333333
Hayathnagar,17.33027778,78.60277778
"Himayatnagar, Hyderabad",17.37611111,78.54611111
HITEC City,17.44166667,78.38277778
Hyderguda,17.39638889,78.48166667
IDA Bollaram,17.54416667,78.34861111
Izzat Nagar,17.4677,78.3798
Jahanuma,17.33861111,78.46361111
Jalal Baba Nagar,17.3539,78.4307
Jamia Osmania,17.39361111,78.52055556
Jeedimetla,17.49944444,78.45833333
Jubilee Hills,17.41638889,78.43833333
Kachiguda,17.39138889,78.49527778
"Kamala Nagar, Hyderabad",17.47305556,78.56638889
Kapra,17.48722222,78.57861111
"Karkhana, Secunderabad",17.46111111,78.50138889
Karmanghat,17.3413,78.5316
Karwan,17.37444444,78.44166667
Kavadiguda,17.43111111,78.51
Khairtabad,17.43666667,78.44388889
Khajaguda,17.4179,78.3642
Khilwat,17.3579,78.4702
"Kings Colony, Shastripuram",17.33111111,78.44638889
Kompally,17.49944444,78.45833333
"Kondapur, Ranga Reddy district",17.48333333,78.41666667
"Kothapet, Hyderabad",17.37611111,78.54611111
"Koti, Hyderabad",17.3858,78.4794
"Krishna Nagar, Hyderabad",17.41638889,78.43833333
Kukatpally,17.48333333,78.41666667
Kushaiguda,17.47194444,78.5475
Laad Bazaar,17.36194444,78.47277778
Lab quarters,17.3358,78.5056
Lakdi ka pul,17.40277778,78.46694444
Lal Bahadur Nagar,17.34833333,78.55083333
Lal Darwaza,17.35,78.48333333
Lallaguda,17.43333333,78.53333333
Langar Houz,17.37833333,78.42083333
"Laxminagar Colony, Mehdipatnam",17.38694444,78.42888889
"Lingampally, Hyderabad",17.48361111,78.31777778
Lingojiguda,17.26666667,78.93333333
Lothkunta,17.4958,78.5128
Madannapet,17.96666667,79.88333333
Madeenaguda,17.49611111,78.34166667
Madhapur,17.44166667,78.39166667
"Madina, Hyderabad",17.36666667,78.5
Madinaguda,17.50222222,78.36944444
Maharajgunj,17.3776,78.4777
Mahatma Gandhi Road (Secunderabad),17.3781,78.48
Malakpet,17.36666667,78.5
Malkajgiri,17.44833333,78.52916667
Malkajgiri mandal,17.44833333,78.52916667
Mallapur,17.45,78.56666667
Mallepally,17.38916667,78.45888889
Manikonda,17.40694444,78.37
Manovikas Nagar,17.46638889,78.48833333
Marredpally,17.44778611,78.50873333
Masab Tank,17.40111111,78.45611111
"Mehboob ki Mehendi, Hyderabad",0,0
Mehdipatnam,17.39583333,78.43111111
Mettuguda,18.71666667,83.81666667
"Minister Road, Hyderabad",17.26,78.27
Mir Alam Tank,17.35,78.43333333
Miyapur,17.49666667,78.36138889
Moazzam Jahi Market,17.3845,78.4751
Moghalpura,17.35833333,78.47638889
Moosapet,17.48333333,78.41666667
Moosarambagh,17.37305556,78.51638889
Moti Nagar (Hyderabad),17.44611111,78.42
Moula-Ali,17.46805556,78.55611111
Musheerabad,17.42555556,78.50388889
Mylargadda,17.42777778,78.51472222
Nacharam,17.81666667,78.53333333
"Nagaram, Medchalâ€“Malkajgiri district",16.002256,80.717926
Nagole,17.37361111,78.56861111
Nalgonda 'X' Roads,17.05662,79.268333
Nallakunta,17.39861111,78.50805556
Namalagundu,17.42472222,78.51361111
"Nampally, Hyderabad",17.43666667,78.4675
Nanakramguda,17.41666667,78.35
Nanalnagar,17.39472222,78.42722222
Narayanguda,17.4,78.01666667
Nawab Saheb Kunta,17.3286,78.4493
Nayapul,17.37083333,78.47638889
Neredmet,17.48166667,78.53666667
Neredmet Kakatiya Nagar,17.47555556,78.54166667
Nizampet,17.5197,78.3779
Noorkhan Bazar,17.3713,78.487
Padmanabha Nagar Colony,17.3915,78.4279
Padmarao Nagar,17.42333333,78.51055556
Pan bazar,17.4351,78.489
Parsigutta,17.42916667,78.49527778
Patancheru,17.53333333,78.26666667
Patny,17.44027778,78.49527778
Pisal Banda,17.3414,78.5017
Pragathi Nagar,17.52111111,78.39638889
Prakash Nagar,17.4423,78.4688
Punjagutta,17.43666667,78.44388889
Purana pul,17.3639,78.4596
Putlibowli,17.38138889,78.48194444
Quthbullapur,17.49944444,78.45833333
Radha Krishna Nagar,17.3685,78.4262
Raidurg,17.4178,78.389
Raj Bhavan Road,17.4194,78.4605
"Ramachandrapuram, Medak district",17.3,78.16666667
Ramanthapur,17.39194444,78.53833333
"Ramnagar, Hyderabad",17.4126,78.5053
Rani Gunj,17.43,78.48972222
Rastrapathi Road,17.542881,78.481445
"Red Hills, Hyderabad",17.3964,78.4681
Rein Bazar,17.3571,78.4937
Risala Bazar,17.3877,78.4063
RTC X Roads,17.40333333,78.49861111
Safilguda,17.46388889,78.54166667
Saidabad,17.35638889,78.51166667
Saifabad,17.36611111,78.47611111
Sainikpuri,17.50166667,78.56305556
Sanathnagar,17.48333333,78.41666667
Sanghi Nagar,17.26666667,78.67638889
Sanjeeva Reddy Nagar,17.43666667,78.44388889
Santoshnagar,17.35666667,78.51222222
Saroornagar,17.35611111,78.53333333
Secunderabad,17.45,78.5
Serilingampally,17.48,78.33
Shah-Ali-Banda,17.35,78.46666667
Shahran Market,17.3645,78.4758
Shanker Mutt,17.4008,78.508
Shivam Road,17.39083333,78.52361111
Shyam Rao Nagar,17.4092,78.4507
Sikh Village,17.46166667,78.48722222
Silpa Avenue Colony,17.28333333,78.21666667
"Sindhi Colony, Secunderabad",17.46666667,78.51666667
Sitaphalmandi,17.42555556,78.51916667
Somajiguda,17.42888889,78.45527778
